SMILES,Authors,Congener,Albumin_Type,Temperature,Method,Ka
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Allendorf et al.2019,PFBA,BSA,310.0,Equilibrium dialysis,23000.0
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Allendorf et al.2019,PFHxA,BSA,310.0,Equilibrium dialysis,180000.0
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Allendorf et al.2019,PFHpA,BSA,310.0,Equilibrium dialysis,720000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Allendorf et al.2019,PFOA,BSA,310.0,Equilibrium dialysis,1100000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Allendorf et al.2019,PFNA,BSA,310.0,Equilibrium dialysis,1400000.0
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Allendorf et al.2019,PFDA,BSA,310.0,Equilibrium dialysis,3600000.0
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Allendorf et al.2019,PFUnDA,BSA,310.0,Equilibrium dialysis,3100000.0
C1(C(O1)(F)F)(C(F)(F)F)F,Allendorf et al.2019,HFPO-DA,BSA,310.0,Equilibrium dialysis,23000.0
C(C(C(=O)O)(F)F)(OC(C(C(OC(F)(F)F)(F)F)(F)F)(F)F)F,Allendorf et al.2019,DONA,BSA,310.0,Equilibrium dialysis,180000.0
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Allendorf et al.2019,PFBS,BSA,310.0,Equilibrium dialysis,110000.0
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Allendorf et al.2019,PFHxS,BSA,310.0,Equilibrium dialysis,4400000.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Allendorf et al.2019,PFOS,BSA,310.0,Equilibrium dialysis,3200000.0
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F,Allendorf et al.2019,9Cl-PF3ONS,BSA,310.0,Equilibrium dialysis,6900000.0
C1(C(C(C(C(C1(F)F)(F)F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)F,Allendorf et al.2019,PFECHS,BSA,310.0,Equilibrium dialysis,2400000.0
C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O,Allendorf et al.2019,PFBA,BSA,310.0,Equilibrium dialysis,5400.0
C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Allendorf et al.2019,PFHxA,BSA,310.0,Equilibrium dialysis,70000.0
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Allendorf et al.2019,PFHpA,BSA,310.0,Equilibrium dialysis,410000.0
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Allendorf et al.2019,PFOA,BSA,310.0,Equilibrium dialysis,1000000.0
C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Allendorf et al.2019,PFNA,BSA,310.0,Equilibrium dialysis,2100000.0
C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Allendorf et al.2019,PFDA,BSA,310.0,Equilibrium dialysis,4700000.0
C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Allendorf et al.2019,PFUnDA,BSA,310.0,Equilibrium dialysis,3600000.0
C1(C(O1)(F)F)(C(F)(F)F)F,Allendorf et al.2019,HFPO-DA,BSA,310.0,Equilibrium dialysis,34000.0
C(C(C(=O)O)(F)F)(OC(C(C(OC(F)(F)F)(F)F)(F)F)(F)F)F,Allendorf et al.2019,DONA,BSA,310.0,Equilibrium dialysis,420000.0
C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,Allendorf et al.2019,PFBS,BSA,310.0,Equilibrium dialysis,31000.0
C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,Allendorf et al.2019,PFHxS,BSA,310.0,Equilibrium dialysis,2200000.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Allendorf et al.2019,PFOS,BSA,310.0,Equilibrium dialysis,4700000.0
C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F,Allendorf et al.2019,9Cl-PF3ONS,BSA,310.0,Equilibrium dialysis,7200000.0
C1(C(C(C(C(C1(F)F)(F)F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)F,Allendorf et al.2019,PFECHS,BSA,310.0,Equilibrium dialysis,1300000.0
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Beesoon & Martin.2015,PFOS,HSA,310.0,ultrafiltration centrifugation,12500000.0
C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)F,Beesoon & Martin.2015,3m-PFOS,HSA,310.0,ultrafiltration centrifugation,2500.0
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(F)(F)F)F,Beesoon & Martin.2015,4m-PFOS,HSA,310.0,ultrafiltration centrifugation,12499.999999999998
C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(C(F)(F)F)F,Beesoon & Martin.2015,5m-PFOS,HSA,310.0,ultrafiltration centrifugation,11111.111111111111
C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,Beesoon & Martin.2015,PFOA,HSA,310.0,ultrafiltration centrifugation,10000.0
C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F)(F)F)O,Beesoon & Martin.2015,3m-PFOA,HSA,310.0,ultrafiltration centrifugation,2500.0
