Structure(SMILES)	DSSTox_Structure_Id
Clc1cc(ccc1Oc1cc(C(=O)O)c(cc1)[N+]([O-])=O)C(F)(F)F	DTXCID6022
ClCC(F)(F)F	DTXCID50289
ClC(F)F	DTXCID60301
ClC(Cl)(F)F	DTXCID80436
FC(F)C(N)(CCCN)C(=O)O	DTXCID70467
CC(=O)O.FC(F)(F)COc1cc(C(=O)NCC2CCCCN2)c(OCC(F)(F)F)cc1	DTXCID80626
O=C(Nc1cc(ccc1)C(F)(F)F)N(C)C	DTXCID40628
FC(F)(F)C(=O)Nc1ccc2c3ccccc3Cc2c1	DTXCID70629
Cl.FC(F)(F)c1ccc(OC(CCNC)c2ccccc2)cc1	DTXCID70635
ClC(Cl)C(F)(F)F	DTXCID50712
FC(F)(F)CNC(=N)Nc1ccn(CCCCC(N)=O)n1	DTXCID50734
FC(F)(F)C(Cl)OC(F)F	DTXCID30752
FC(F)(F)CCCN(CCCC(F)(F)F)N=O	DTXCID60987
FC(F)(F)CN(CC)N=O	DTXCID801011
FC(F)(F)CN(CC(F)(F)F)N=O	DTXCID901023
FCC(F)(F)F	DTXCID901324
F/C(F)=C(\F)F	DTXCID301325
ClC(F)(F)C(Cl)(Cl)F	DTXCID601377
O=C(Nc1nc(cs1)c1ccc(o1)[N+]([O-])=O)C(F)(F)F	DTXCID001394
[O-][N+](=O)c1cc(cc([N+]([O-])=O)c1N(CCC)CCC)C(F)(F)F	DTXCID401395
C=C(F)F	DTXCID401439
FC(F)(F)CO	DTXCID401751
O=[N+]([O-])c1ccc(O)cc1C(F)(F)F	DTXCID101788
FC(F)(F)c1cccc(C#N)c1	DTXCID202026
FC(F)(F)c1cc(F)ccc1N	DTXCID402029
FC(F)(F)c1ccccc1C#N	DTXCID502031
FC(F)(F)c1cccc(C=O)c1	DTXCID902032
FC(F)(F)C(O)C(F)(F)F	DTXCID902134
Fc1ccc(N)cc1C(F)(F)F	DTXCID402184
FC(F)C(F)(F)C(C)(C)O	DTXCID202283
FC(F)Oc1ccc(cc1)[C@H](C(C)C)C(=O)OC(C#N)c1cc(Oc2ccccc2)ccc1	DTXCID202301
FC(F)(F)C(F)(F)CCCS(=O)CCCCCCCCC[C@@H]1Cc2cc(O)ccc2[C@H]2CC[C@@]3(C)[C@@H](CC[C@@H]3O)[C@@H]21	DTXCID202369
FC(F)(F)c1cc2NC(NS(=O)(=O)c2cc1S(N)(=O)=O)Cc1ccccc1	DTXCID402647
Fc1ccc(cc1)S(=O)(=O)CC(C)(O)C(=O)Nc1cc(c(C#N)cc1)C(F)(F)F	DTXCID00209197
NS(=O)(=O)c1ccc(cc1)n1nc(cc1c1ccc(C)cc1)C(F)(F)F	DTXCID502777
FC(F)(F)c1cccc(CC(C)NCC)c1	DTXCID103044
FC(F)(F)COc1cc(C(=O)NCC2CCCCN2)c(OCC(F)(F)F)cc1	DTXCID403054
FC(F)(F)c1cc(ccc1)Nc1ccccc1C(=O)O	DTXCID303063
FC(F)(F)c1ccc(OC(CCNC)c2ccccc2)cc1	DTXCID903067
FC(F)(F)c1cc2N(CCCN3CCN(CCO)CC3)c3ccccc3Sc2cc1	DTXCID303068
CCCCCCCCCC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2ccc(cc12)C(F)(F)F	DTXCID703069
CCCCCCC(=O)OCCN1CCN(CC1)CCCN1c2ccccc2Sc2ccc(cc12)C(F)(F)F	DTXCID403070
FC(F)(F)CN1c2ccc(Cl)cc2C(=NCC1=O)c1ccccc1	DTXCID003118
CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(ccc12)C(F)(F)F	DTXCID403119
Clc1ccc(cc1)C(Oc1cc(ccc1)C(F)(F)F)C(=O)OCCNC(C)=O	DTXCID103120
FC(F)(F)c1cc2NCNS(=O)(=O)c2cc1S(N)(=O)=O	DTXCID203132
FC(F)(F)COc1ccnc(CS(=O)c2nc3ccccc3[NH]2)c1C	DTXCID703200
Cc1oncc1C(=O)Nc1ccc(cc1)C(F)(F)F	DTXCID103201
FC(F)(F)c1cc(ccc1)Nc1ncccc1C(=O)O	DTXCID903368
COc1c(OC)ccnc1CS(=O)c1nc2cc(ccc2[NH]1)OC(F)F	DTXCID803416
FC(F)(F)c1cccc(c1)C1(O)CCN(CCCC(=O)c2ccc(F)cc2)CC1	DTXCID903703
FC(F)(F)c1cc2N(CCCN(C)C)c3ccccc3Sc2cc1	DTXCID303704
[Na+].Clc1cc(ccc1Oc1cc(C([O-])=O)c(cc1)[N+]([O-])=O)C(F)(F)F	DTXCID603853
CC1(C)CN/C(=N\N=C(/C=C/c2ccc(cc2)C(F)(F)F)\C=C\c2ccc(cc2)C(F)(F)F)NC1	DTXCID903868
[O-][N+](=O)c1cc(cc([N+]([O-])=O)c1N(CCCC)CC)C(F)(F)F	DTXCID203899
CC(Cl)(F)F	DTXCID903960
Cl\C(=C/C1C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C)C(F)(F)F	DTXCID20209356
CC(F)F	DTXCID904050
CN1C=C(C(=O)C(=C1)c1cc(ccc1)C(F)(F)F)c1ccccc1	DTXCID404107
OC(C(C)C)(c1cncnc1)c1ccc(OC(F)(F)F)cc1	DTXCID804108
CC(C)Oc1cccc(c1)NC(=O)c1ccccc1C(F)(F)F	DTXCID204109
Clc1cc(ccc1NC(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)C(C)C)C(F)(F)F	DTXCID904110
Clc1cc(ccc1Oc1cc(C(=O)NS(C)(=O)=O)c(cc1)[N+]([O-])=O)C(F)(F)F	DTXCID704112
O=C(OC)C(C)Oc1ccc(cc1)Oc1ncc(cc1Cl)C(F)(F)F	DTXCID404123
Clc1cc(ccc1Oc1cc(C(=O)OC(C)C(=O)OCC)c(cc1)[N+]([O-])=O)C(F)(F)F	DTXCID404160
FC(F)(F)c1cc(ccc1)N1N=CC(NC)=C(Cl)C1=O	DTXCID304234
Clc1cc(ccc1Oc1ccc([N+]([O-])=O)c(OCC)c1)C(F)(F)F	DTXCID404241
FC(F)C(F)(F)F	DTXCID704251
FC(F)(F)c1cc(N)ccc1	DTXCID504512
FC(F)(F)c1ccccc1	DTXCID404589
FC(F)(F)c1cc(Cl)ccc1	DTXCID104773
FC(F)(F)c1ccccc1Cl	DTXCID504774
O=[N+]([O-])c1cc(cc([N+]([O-])=O)c1Cl)C(F)(F)F	DTXCID604781
O=[N+]([O-])c1cc(ccc1Cl)C(F)(F)F	DTXCID104799
FC(F)(F)c1ccc(Cl)cc1	DTXCID004821
BrC(Cl)C(F)(F)F	DTXCID605371
O.O.O.FC(F)(F)C(=O)C(F)(F)F.FC(F)(F)C(=O)C(F)(F)F	DTXCID605392
ClC(Cl)C(F)(F)OC	DTXCID405556
O=[N+]([O-])c1ccccc1C(F)(F)F	DTXCID805793
O=[N+]([O-])c1cc(ccc1)C(F)(F)F	DTXCID205794
NS(=O)(=O)c1cc2c(NC(CSCC(F)(F)F)N(C)S2(=O)=O)cc1Cl	DTXCID805939
FC(F)F	DTXCID706410
BrC(F)(F)F	DTXCID706415
FC(F)(F)C(Cl)(F)F	DTXCID306435
F/C(F)=C(\Cl)F	DTXCID806485
F/C(F)=C(\F)C(F)(F)F	DTXCID206949
FC(F)(C(F)(F)S(F)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID107140
FC(F)(N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID507141
Clc1ccc(cc1Cl)C(F)(F)F	DTXCID907142
O=C=N/c1cc(ccc1)C(F)(F)F	DTXCID307143
BrC(Cl)(F)F	DTXCID907147
ClC(Cl)(Cl)C(F)(F)F	DTXCID307148
FC(F)(F)C(Cl)(Cl)F	DTXCID407150
FC(F)(F)CC[Si](C)(Cl)Cl	DTXCID807290
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(CCO)CC	DTXCID507426
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CCO	DTXCID607831
Clc1cc(ccc1Oc1ccc([N+]([O-])=O)c(OC(C)=O)c1)C(F)(F)F	DTXCID308018
Clc1cc(ccc1Oc1cccc(OC(C)=O)c1)C(F)(F)F	DTXCID708019
Clc1cc(ccc1Oc1cc(ccc1)C(=O)O)C(F)(F)F	DTXCID008121
[K+].Clc1cc(ccc1Oc1cc(ccc1)C([O-])=O)C(F)(F)F	DTXCID509025
FC(F)(F)C(Cl)=O	DTXCID609176
FC(F)(F)C1(F)OC1(F)F	DTXCID009177
FCF	DTXCID409597
FC(F)(C(F)(F)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID309904
FC(F)(C(F)(F)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID709905
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)F	DTXCID3010030
ClCC(Cl)(F)F	DTXCID3011393
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1011860
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6011861
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1011862
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6011863
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1011864
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6011865
FC(F)(F)c1nc(c(c(CC(C)C)c1C(=O)SC)C(=O)SC)C(F)F	DTXCID7012379
[O-][N+](=O)c1cc(cc([N+]([O-])=O)c1N(CC(=C)C)CC)C(F)(F)F	DTXCID6012386
N#Cc1c[NH]cc1c1cccc2OC(F)(F)Oc12	DTXCID0012398
[Li+].FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID0012421
O=C(Nc1nc(cc(OC(F)F)n1)OC(F)F)NS(=O)(=O)c1ccccc1C(=O)OC	DTXCID6012463
CC(C)Cc1c(c(nc(C(F)F)c1C(=O)OC)C(F)(F)F)C1=NCCS1	DTXCID9012488
FC(F)(F)c1cc(Cl)ccc1\N=C(/COCCC)n1ccnc1	DTXCID0012500
O=C(OC)c1cccc(C)c1S(=O)(=O)NC(=O)Nc1nc(nc(OCC(F)(F)F)n1)N(C)C	DTXCID0012502
O=C(OCC)C(Cl)Cc1cc(c(F)cc1Cl)N1N=C(C)N(C1=O)C(F)F	DTXCID2012532
CCOCn1c(c(C#N)c(Br)c1C(F)(F)F)c1ccc(Cl)cc1	DTXCID7012533
[O-][N+](=O)c1cc(c(Cl)c(c1Nc1ncc(cc1Cl)C(F)(F)F)[N+]([O-])=O)C(F)(F)F	DTXCID5012551
O=C(COc1nnc(s1)C(F)(F)F)N(c1ccc(F)cc1)C(C)C	DTXCID0012552
Clc1cccc(F)c1CN(CC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O	DTXCID5012553
Cl\C(=C/C1C(C(=O)OCc2c(F)c(F)c(C)c(F)c2F)C1(C)C)C(F)(F)F	DTXCID3012577
FC(F)(F)c1cccc(c1)C(\C)=N\OCc1ccccc1C(=N\OC)/C(=O)OC	DTXCID501509092
CN(c1c(Br)cc(Br)cc1Br)c1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)C(F)(F)F	DTXCID6012590
[O-][N+](=O)c1cc(cc([N+]([O-])=O)c1N(CCCl)CCC)C(F)(F)F	DTXCID7012614
Clc1cc(cc(Cl)c1OC(F)(F)C(F)F)NC(=O)NC(=O)c1c(F)cccc1F	DTXCID1012620
CS(=O)(=O)Nc1cc(c(Cl)cc1Cl)N1N=C(C)N(C1=O)C(F)F	DTXCID4012645
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)NCC	DTXCID9012646
FC(F)(F)Oc1ccc(cc1)N(C(=O)OC)C(=O)N1N=C2c3ccc(Cl)cc3C[C@@]2(OC1)C(=O)OC	DTXCID9012690
O=C(Nc1cc(c(cc1)[N+]([O-])=O)C(F)(F)F)C(C)(C)O	DTXCID6013562
FC(F)(F)c1cc(ccc1[N+]([O-])=O)N1C(=O)C(C)(C)NC1=O	DTXCID1014165
[O-][N+](=O)c1cc(c(N)c([N+]([O-])=O)c1N(CCC)CCC)C(F)(F)F	DTXCID9014210
[Na+].O.O=S(=O)([N-]C(=O)Nc1nc(OC)cc(OC)n1)c1ncccc1OCC(F)(F)F	DTXCID4014263
O=S(=O)(Nc1cc(NC(C)=O)c(C)cc1C)C(F)(F)F.OCCNCCO	DTXCID1014298
O=C(NC(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccccc1Cl	DTXCID3014355
Clc1cc(NC(=O)NC(=O)c2c(F)cccc2F)c(Cl)cc1OC(F)(F)C(F)C(F)(F)F	DTXCID3014357
O=C(OCC=C)C(C)(C)OC(=O)c1cc(ccc1Cl)N1C(=O)C=C(N(C)C1=O)C(F)(F)F	DTXCID7014365
FC(F)(F)S(=O)c1c(N)n(nc1C#N)c1c(Cl)cc(cc1Cl)C(F)(F)F	DTXCID2014609
O=S(=O)(NC(=O)Nc1nc(OC)cc(OC)n1)c1ncccc1C(F)(F)F	DTXCID1014610
O=C(NCC#N)c1cnccc1C(F)(F)F	DTXCID6014611
O=C(OCCCC)C(C)Oc1ccc(cc1)Oc1ccc(cn1)C(F)(F)F	DTXCID1014612
[Na+].COC1=NN(C(=O)[N-]S(=O)(=O)c2ccccc2OC(F)(F)F)C(=O)N1C	DTXCID1014614
O=C(OCC)COc1cc(c(F)cc1Cl)N1N=CC(=C(C)C1=O)C(F)(F)F	DTXCID1014618
Clc1cccc(Cl)c1C(=O)NCc1ncc(cc1Cl)C(F)(F)F	DTXCID5014624
O=S(=O)(Nc1cc(NC(C)=O)c(C)cc1C)C(F)(F)F	DTXCID5014709
O=C(c1cnoc1C1CC1)c1ccc(cc1S(C)(=O)=O)C(F)(F)F	DTXCID3014723
[K+].O=C(C)Nc1cc([N-]S(=O)(=O)C(F)(F)F)c(C)cc1C	DTXCID0014750
Nc1c(cc(cc1NC(=O)C(F)(F)C(F)F)C(F)(F)F)[N+]([O-])=O	DTXCID9014767
Clc1cc(ccc1OC(F)(F)C(F)OC(F)(F)F)NC(=O)NC(=O)c1c(F)cccc1F	DTXCID3014773
Clc1c(F)c(cc(Cl)c1OC(F)(F)C(F)C(F)(F)F)NC(=O)NC(=O)c1c(F)cccc1F	DTXCID8014774
FC(F)(F)c1cccc(OCC(F)F)c1S(=O)(=O)Nc1nc2c(cnc(OC)n2n1)OC	DTXCID8014803
O=C(OCCCC)[C@@H](C)Oc1ccc(cc1)Oc1ccc(cn1)C(F)(F)F	DTXCID8014855
Cc1nc(NC(=O)NS(=O)(=O)c2ccccc2CCC(F)(F)F)nc(OC)n1	DTXCID7014868
Cn1nc(c2cc(OCC(=O)OCC)c(Cl)cc2F)c(Cl)c1OC(F)F	DTXCID6014871
Cl\C(Cl)=C\COc1cc(Cl)c(OCCCOc2ccc(cn2)C(F)(F)F)c(Cl)c1	DTXCID6014875
[Na+].Clc1cc(ccc1Oc1cc(C(=O)[N-]S(C)(=O)=O)c(cc1)[N+]([O-])=O)C(F)(F)F	DTXCID9014921
FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl	DTXCID6014956
FC1(F)C(F)(C(F)(F)C(F)(C(F)(F)C1(F)F)C(F)(F)F)C(F)(F)F	DTXCID8016926
O[C@@H](c1cc(nc2c1cccc2C(F)(F)F)C(F)(F)F)[C@H]1CCCCN1	DTXCID001473959
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID9017303
[O-][N+](=O)c1ccc(cc1)Oc1ccc(cc1[N+]([O-])=O)C(F)(F)F	DTXCID5017553
Clc1cc(ccc1N[C@@H](C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)C(C)C)C(F)(F)F	DTXCID5017555
CC(C)Cc1c(c(nc(C(F)F)c1C(=O)O)C(F)(F)F)C1=NCCS1	DTXCID8017609
[K+].FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6017706
[K+].FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)F	DTXCID1017707
[NH4+].FC(F)(C(F)(F)C([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6017708
[K+].FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1017709
Oc1ccc(cc1)C(c1ccc(O)cc1)(C(F)(F)F)C(F)(F)F	DTXCID5017717
FC(F)(CCOC(=O)C=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID7017743
FC(F)(CCOC(=O)C=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID7018840
FC(F)(C(F)(F)S(N)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1018939
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1020148
FC(F)(F)C(F)(F)I	DTXCID6020149
[Na+].O=S(=O)([N-]C(=O)Nc1nc(OC)cc(OC)n1)c1ncccc1OCC(F)(F)F	DTXCID6020222
CCN(CC)c1c(cc(c(N)c1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O	DTXCID7020265
Clc1ccc(cc1Nc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)C(F)(F)F)C(F)(F)F	DTXCID8020331
FC(F)(F)Oc1ccc(cc1)NC(=O)NN=C(Cc1ccc(C#N)cc1)c1cccc(c1)C(F)(F)F	DTXCID60196514
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)C1(F)F	DTXCID1020487
