Structure(SMILES)	DTXSID	FW
ClC(Br)(Cl)C(F)(F)C(Cl)(F)F	DTXSID50579670	298.2887
FC(F)(C(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30379418	592.0065
FC(F)(c1nc(nc(n1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50896071	885.1600
O=C(O)CCSC(CO)C(CO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID701034596	412.2691
FC(F)C(F)C(F)F	DTXSID00947103	134.0479
O=S(=O)(Oc1ccc(O)cc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50896076	392.1949
O=C(c1ccc(F)cc1Cl)N(C)c1cccc(C(=O)Nc2c(C)cc(cc2C)C(F)(C(F)(F)F)C(F)(F)F)c1F	DTXSID20896467	596.8719
[Li+].FC(F)(OC(Cl)(F)C(F)(Cl)F)C(F)(OC(F)(F)C([O-])=O)C(F)(F)F	DTXSID601032678	434.9019 (427.9615+6.9405)
FC(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)CCCCCCCCCCCCCCCC	DTXSID40674305	544.4767
FC(F)(F)C(F)(F)OC(=O)C(F)(F)C(F)(F)F	DTXSID20782452	282.0363
O=C1CCCCC1C(=O)C(F)(F)C(F)(F)C(F)(F)F	DTXSID40285778	294.1661
FC(F)(OC(\F)=C(/F)F)OC(F)(F)F	DTXSID40825830	232.0288
FC(F)(C(F)(F)F)S(=O)(=O)N(C)CCC[N+](C)(C)C	DTXSID801035185	313.3079
FC(F)(C(F)(F)CCC=O)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30772920	326.1071
FC(F)(COC(=O)OC)C(F)(F)F	DTXSID50592642	208.0834
OS(=O)(=O)c1ccc(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1	DTXSID601020695	692.2400
FC(F)(F)C12C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(C(F)(F)C(F)(F)C(F)(F)C2(F)F)C(F)(F)F	DTXSID201027594	562.0933
FC(F)(C(F)(F)OCC)C(F)(F)C(F)(F)F	DTXSID0073118	264.0889
FC(F)(CF)C(F)(F)CF	DTXSID20577406	166.0650
FC(F)(OC(F)(COP(O)(O)=O)C(F)(F)F)C(F)(F)C(F)(F)F	DTXSID001023760	396.0492
Cl.FC(F)(c1ccc(cc1)C(C)(C)N)C(F)(F)c1ccccc1	DTXSID80960794	347.7781 (311.3172+36.4609)
FC(F)(F)C(O)(c1cc(cc2c1S(=O)(=O)OC2(C(F)(F)F)C(F)(F)F)C(C)(C)C)C(F)(F)F	DTXSID40320633	528.3099
FC(F)(c1nc(N)nc(F)c1C(F)(F)F)C(F)(F)F	DTXSID50411804	299.0965
FC(F)(F)c1cccc(c1)C(F)(F)C(F)(F)c1cccc(c1)C(F)(F)F	DTXSID20378298	390.2188
[SiH8+4].[O-]CCN(CC[O-])CC[O-].FC(F)C(F)(F)C(F)(F)C(F)(F)C[CH-]I	DTXSID80159525	537.3011 (354.9882+36.1468+146.1660)
FC(F)(F)C(F)=NN=C(Cl)C(F)(F)F	DTXSID60748890	244.4980
FC(F)(C(F)(F)F)P(Cl)(=O)CCl	DTXSID60543524	250.9192
C[N+](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O	DTXSID101035003	742.3435
O=C(Nc1c(C)cc(cc1C)C(F)(C(F)(F)F)C(F)(F)F)c1cccc(NC(=O)c2c(F)c(F)c(F)c(F)c2F)c1	DTXSID20896462	602.3717
O=C(Oc1cccc(c1)[N+]([O-])=O)C(F)(F)C(F)(F)C(F)(F)F	DTXSID30850994	335.1319
FC(F)(C(F)(F)C(=O)O)S(F)(F)(F)(F)F	DTXSID001035743	272.0895
FC(F)(F)C(C(F)(F)OCC)C(F)(F)F	DTXSID20336414	246.0985
O=C(OOC(=O)C(F)(OC(F)(F)F)C(F)(F)F)C(F)(OC(F)(F)F)C(F)(F)F	DTXSID20528473	458.0596
[Na+].O=S(=O)(N(C)CC([O-])=O)c1ccc(OC(F)(F)C(F)(F)C(F)=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1	DTXSID601020683	697.2954 (674.3062+22.9892)
FC(F)(C(F)(F)C(Cl)=O)C(F)(F)C(F)(F)C(F)(F)C(F)F	DTXSID00379829	364.5161
FC(F)(F)C(F)(F)C=1N=C(OC)N(c2cc(C(=O)OC(C)C)c(Cl)cc2F)C(=O)C=1	DTXSID50151192	458.7395
O=S(Cl)(=O)c1cc(ccc1)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID00569248	594.6712
FC(F)(Oc1cc(cc(OC(F)(F)C(F)(F)F)c1[N+]([O-])=O)OC(F)(F)C(F)(F)F)C(F)(F)F	DTXSID101023032	525.1240
FC(F)(F)C(F)(F)CC=O	DTXSID601032654	162.0580
FC(F)(C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(Cl)(F)F)S(=O)(=O)O	DTXSID201015597	482.5761
COc1ccc(cc1)C(Cl)(c1ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1)c1ccc(OC)cc1	DTXSID00468500	784.9310
FC(F)(F)C(F)(F)C(F)(F)C(=O)NN=Cc1ccccc1	DTXSID50896051	316.1749
FC(F)(CCCCC)C(F)(F)C(F)(F)F	DTXSID20895157	240.1618
FC(F)(OC(F)(F)C(F)(F)F)C(F)(OC(F)(F)C(Br)(F)F)C(F)(F)F	DTXSID20896487	480.9537
CN(C)CC(O)CC(F)(F)C(F)(F)F	DTXSID001035717	221.1683
CCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID50896056	441.2096
FC(=CCCC)C(C(F)(F)F)C(F)(F)F	DTXSID00811759	238.1459
FC(F)(Oc1cc(cc(c1)C(=O)O)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CF	DTXSID601020671	614.2073
FC(=CCS(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101036344	758.2139
[O-]S(=O)(=O)CCC[N+](C)(C)CCCN(CC(=O)O)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXSID101035015	914.4939
