Structure(SMILES)	DTXCID
Ic1c(F)c(I)c(F)c(I)c1F	DTXCID60348192
IC1=C(I)C(F)(F)C1(F)F	DTXCID60249599
IC(F)(F)C(F)(F)C(F)(F)I	DTXCID60399068
Fc1c2c3c(F)c(F)c(F)c(F)c3c3c(F)c(F)c(F)c(F)c3c2c(F)c(F)c1F	DTXCID90462830
Fc1c2c3c(c(F)c(F)c4c(F)c(F)c(F)c(c43)c(F)c2F)c(F)c1F	DTXCID5086710
Fc1c2c(F)c(F)c(F)c(F)c2c(F)c(F)c1F	DTXCID70107712
Fc1c2c(F)c(F)c(F)c(F)c2c(F)c(F)c1Br	DTXCID20416422
Fc1c2c(F)c(Cl)c(F)c(Cl)c2c(Cl)c(F)c1Cl	DTXCID50527974
Fc1c2c(c(F)c3c(F)c4c(F)c5c(c(F)c4c(F)c3c2F)c(F)c(F)c(F)c5F)c(F)c(F)c1I	DTXCID10794822
Fc1c2c(c(F)c3c(F)c4c(F)c5c(c(F)c4c(F)c3c2F)c(F)c(F)c(F)c5F)c(F)c(F)c1F	DTXCID70429289
Fc1c2c(c(F)c3c(F)c4c(F)c5c(c(F)c4c(F)c3c2F)c(F)c(F)c(F)c5F)c(F)c(F)c1Cl	DTXCID30794824
Fc1c2c(c(F)c3c(F)c4c(F)c5c(c(F)c4c(F)c3c2F)c(F)c(F)c(F)c5F)c(F)c(F)c1Br	DTXCID70794823
Fc1c2c(c(F)c3c(F)c4c(F)c(F)c(F)c(F)c4c(F)c3c2F)c(F)c(F)c1F	DTXCID20410844
Fc1c2c(c(F)c3c(F)c(F)c(F)c(F)c3c2F)c(F)c(F)c1F	DTXCID5088831
Fc1c2c(c(F)c(F)c3c(F)c(F)c(F)c(F)c32)c(F)c(F)c1F	DTXCID0088832
Fc1c2c(c(F)c(F)c1F)c1c2c(F)c(F)c(F)c1F	DTXCID30330746
Fc1c2c(c(F)c(F)c1F)C(F)=C(F)C2(F)F	DTXCID50298172
Fc1c2c(c(F)c(F)c1F)C(F)(F)C(F)(F)C2(Cl)F	DTXCID00458183
Fc1c2c(c(F)c(F)c1F)C(F)(F)C(F)(F)C2(Br)F	DTXCID80475813
Fc1c2c(c(F)c(F)c1F)C(F)(F)C(Cl)(F)C2(Cl)F	DTXCID80468442
Fc1c2c(c(F)c(F)c1F)C(F)(F)C(Cl)(F)C2(Cl)Cl	DTXCID60475816
Fc1c2c(c(F)c(F)c1F)C(F)(F)C(Br)(F)C2(Cl)Cl	DTXCID50475825
Fc1c2c(c(F)c(F)c1F)C(F)(F)C(Br)(F)C2(Br)F	DTXCID40475814
Fc1c2c(c(F)c(F)c1F)C(Cl)=C(F)C2(F)F	DTXCID00475815
Fc1c2c(c(F)c(F)c1F)C(Cl)(F)C(F)(F)C2(Cl)F	DTXCID30475823
Fc1c2c(c(F)c(F)c1F)C(Cl)(F)C(F)(F)C2(Cl)Cl	DTXCID40468443
Fc1c2c(c(F)c(F)c1F)C(Cl)(Cl)C(F)(F)C2(Cl)Cl	DTXCID00456720
Fc1c2c(c(F)c(F)c1Cl)C(F)(F)C(F)(F)C2(Cl)Cl	DTXCID70475822
Fc1c2c(c(F)c(F)c1Cl)C(Cl)(Cl)C(F)(F)C2(Cl)Cl	DTXCID50475820
Fc1c2c(c(F)c(Cl)c1F)C(F)(F)C(F)(F)C2(Cl)Cl	DTXCID10475821
Fc1c(I)c(F)c(F)c(I)c1F	DTXCID60114935
Fc1c(F)c(F)c2c(F)c(F)c(F)c3c2c1C(F)(F)C3(F)F	DTXCID50726309
Fc1c(F)c(F)c2c(F)c(F)c(F)c3C(F)=C(F)c1c23	DTXCID0088385
Fc1c(F)c(F)c(F)c2c1C(Cl)(F)C(F)=C(F)C2(F)F	DTXCID90470031
Fc1c(F)c(F)c(F)c2c1C(Cl)(F)C(F)=C(F)C2(Cl)F	DTXCID50476150
Fc1c(F)c(F)c(F)c2C#CC(F)=C(F)c12	DTXCID40452822
Fc1c(F)c(F)c(F)c(I)c1I	DTXCID10104043
