Structure(SMILES)	DSSTox_Structure_Id
ClC(F)(F)C(Cl)(Cl)F	DTXCID601377
FC(F)(F)C(F)(F)CCCS(=O)CCCCCCCCC[C@@H]1Cc2cc(O)ccc2[C@H]2CC[C@@]3(C)[C@@H](CC[C@@H]3O)[C@@H]21	DTXCID202369
FC(F)(F)C(Cl)(F)F	DTXCID306435
FC(F)(C(F)(F)S(F)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID107140
FC(F)(N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID507141
FC(F)(F)C(Cl)(Cl)F	DTXCID407150
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(CCO)CC	DTXCID507426
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CCO	DTXCID607831
FC(F)(F)C1(F)OC1(F)F	DTXCID009177
FC(F)(C(F)(F)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID309904
FC(F)(C(F)(F)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID709905
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)F	DTXCID3010030
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1011860
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6011861
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1011862
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6011863
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1011864
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6011865
[Li+].FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID0012421
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)NCC	DTXCID9012646
FC1(F)C(F)(C(F)(F)C(F)(C(F)(F)C1(F)F)C(F)(F)F)C(F)(F)F	DTXCID8016926
FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID9017303
[K+].FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6017706
[K+].FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)F	DTXCID1017707
[NH4+].FC(F)(C(F)(F)C([O-])=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID6017708
[K+].FC(F)(C(F)(F)S([O-])(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1017709
FC(F)(CCOC(=O)C=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID7017743
FC(F)(CCOC(=O)C=C)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID7018840
FC(F)(C(F)(F)S(N)(=O)=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1018939
FC(F)(C(F)(F)S(=O)(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID1020148
FC(F)(F)C(F)(F)I	DTXCID6020149
BrC(F)(F)C(Br)(F)F	DTXCID8021226
C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O	DTXCID2021284
[Na+].[O-]S(=O)(=O)CC(O)CN(CCCN(C)C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID7021285
[Na+].[O-]S(=O)(=O)CC(O)CN(CCCN(C)C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID2021286
FC(F)(C(F)(F)C(F)=O)C(F)(F)F	DTXCID8021696
FC1(F)C(F)(F)C(F)(F)C1(F)F	DTXCID7021811
FC(F)(F)C(F)(F)F	DTXCID0021915
[K+].FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(CC(=O)[O-])CC	DTXCID1022009
FC(F)(F)C(Cl)(F)C(Cl)F	DTXCID9022025
FC(F)C(Cl)(F)C(Cl)(F)F	DTXCID4022026
ClC(Cl)C(F)(F)C(F)(F)F	DTXCID9022027
FC(F)(Cl)C(F)(F)C(Cl)F	DTXCID4022028
FC(F)C(F)(F)C(Cl)(Cl)F	DTXCID9022029
FC(F)(F)C(F)(C(F)(F)OC)C(F)(F)F	DTXCID301020834
FC(F)(F)C(F)(F)CCCS(=O)CCCCCCCCC[C@@H]1c2ccc(O)cc2CC[C@]1(C)c1ccc(O)cc1	DTXCID601514141
FC(F)(C(F)(F)CCO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	DTXCID3024572
FC(F)(C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(\F)=C(/F)F)S(F)(=O)=O	DTXCID1024596
FC(F)(C(F)(F)OC(F)(C(F)(F)OC(F)(C(F)=O)C(F)(F)F)C(F)(F)F)C(F)(F)F	DTXCID0024630
