Complete name,Short name,functional group(s), CID PubChem ID,C series,Alternative (1) / Legacy (0),CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
Heptafluorobutyric acid,PFBA,COOH,9777,4,1,375-22-4,YPJUNDFVDDCYIH-UHFFFAOYSA-N,Heptafluorobutanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4HF7O2/c5-2(6,1(12)13)3(7,8)4(9,10)11/h(H,12,13)",C4HF7O2,214.039,213.986476,187,96,123,,1,9/506,2,506
Undecafluorohexanoic acid,PFHxA,COOH,67542,6,1,307-24-4,PXUULQAPEKKVAH-UHFFFAOYSA-N,Undecafluorohexanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C6HF11O2/c7-2(8,1(18)19)3(9,10)4(11,12)5(13,14)6(15,16)17/h(H,18,19)",C6HF11O2,314.054,313.980089,211,41,85,1,1,43/1098,4,1098
Perfluoroheptanoic acid,PFHpA,COOH,67818,7,1,375-85-9,ZWBAMYVPMDSJGQ-UHFFFAOYSA-N,Tridecafluoroheptanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C7HF13O2/c8-2(9,1(21)22)3(10,11)4(12,13)5(14,15)6(16,17)7(18,19)20/h(H,21,22)",C7HF13O2,364.062,363.976895,216,7,99,,1,52/1038,5,1038
Perfluoropentanoic acid,PFPeA,COOH,75921,5,1,2706-90-3,CXZGQIAOTKWCDB-UHFFFAOYSA-N,Nonafluoropentanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C5HF9O2/c6-2(7,1(15)16)3(8,9)4(10,11)5(12,13)14/h(H,15,16)",C5HF9O2,264.047,263.983283,152,,93,,1,4/461,1,461
Perfluorodecanoic acid,PFDA,COOH,9555,10,0,335-76-2,PCIUEQPBYFRTEM-UHFFFAOYSA-N,Nonadecafluorodecanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C10HF19O2/c11-2(12,1(30)31)3(13,14)4(15,16)5(17,18)6(19,20)7(21,22)8(23,24)9(25,26)10(27,28)29/h(H,30,31)",C10HF19O2,514.086,513.967314,242,151,77,,1,317/1075,29,1075
Pentafluoropropionic acid,PFPrA,COOH,62356,3,1,422-64-0,LRMSQVBRUNSOJL-UHFFFAOYSA-N,Pentafluoropropanoic acid,OC(=O)C(F)(F)C(F)(F)F,"InChI=1S/C3HF5O2/c4-2(5,1(9)10)3(6,7)8/h(H,9,10)",C3HF5O2,164.031,163.98967,92,29,120,1,1,6/460,1,460
Nonafluorobutane-1-sulfonic acid,PFBS,SO3,67815,4,1,375-73-5,JGTNAGYHADQMCM-UHFFFAOYSA-N,Nonafluorobutane-1-sulfonic acid,OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C4HF9O3S/c5-1(6,3(9,10)11)2(7,8)4(12,13)17(14,15)16/h(H,14,15,16)",C4HF9O3S,300.09,299.950269,194,136,97,,1,8/504,2,504
Perfluorooctanoic acid,PFOA,COOH,9554,8,0,335-67-1,SNGREZUHAYWORS-UHFFFAOYSA-N,Pentadecafluorooctanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8HF15O2/c9-2(10,1(24)25)3(11,12)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)23/h(H,24,25)",C8HF15O2,414.07,413.973702,315,1179,139,6,1,133/1396,10,1396
Perfluoroundecanoic acid,PFUnA,COOH,77222,11,0,2058-94-8,SIDINRCMMRKXGQ-UHFFFAOYSA-N,Henicosafluoroundecanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C11HF21O2/c12-2(13,1(33)34)3(14,15)4(16,17)5(18,19)6(20,21)7(22,23)8(24,25)9(26,27)10(28,29)11(30,31)32/h(H,33,34)",C11HF21O2,564.093,563.964121,189,13,71,,1,257/1123,23,1123
Pentadecafluorooctanoic acid ammonium salt,PFOA-NH4,COONH4,2776282,8,0,3825-26-1,YOALFLHFSFEMLP-UHFFFAOYSA-N,Ammonium pentadecafluorooctanoate,[NH4+].[O-]C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C8HF15O2.H3N/c9-2(10,1(24)25)3(11,12)4(13,14)5(15,16)6(17,18)7(19,20)8(21,22)23;/h(H,24,25);1H3",C8H4F15NO2,431.101,431.000251,179,1179,36,20,1,74/1025,7,1025
