SMILES,logKow_EPISuite
O=C(O)C(F)(F)C(F)(F)C(F)(F)F,2.14
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.81
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.48
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.15
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.48
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.15
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.82
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)NCC,6.76
C(C(=O)O)NS(=O)(=O)C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,5.52
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(C)CC(O)=O,5.73
FC(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)S(=O)(=O)N(CC(O)=O)CC,6.22
FC(F)(CCOP(=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9.42
FC(F)(CCOP(=O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,12.1
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O,4.33
O=P(O)(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O,5.66
NC(=O)c1nc(-c2ccccc2)n(n1)-c1ccc(Cl)c(COCC(F)(F)C(F)(F)F)c1,4.45
FC(F)(F)C(=O)C(F)(C(F)(F)F)C(F)(F)F,1.82
Cc1cc(ccc1NC(=O)c1ccccc1C(=O)NC(C)(C)CS(C)=O)C(F)(C(F)(F)F)C(F)(F)F,3.39
FC(C(F)(F)F)C(F)(F)Oc1cc(Cl)c(NC(=O)NC(=O)c2c(F)cccc2F)cc1Cl,6.61
FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,6.19
OC(=O)C(F)(F)C(F)(F)F,1.47
OC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,5.55
FC1(F)OC(F)(F)C(F)(F)C1(F)F,2.87
FC(F)(F)C1(F)OC1(F)F,1.72
COC(F)(F)C(C(F)(F)F)C(F)(F)F,3.32
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,5.56
FC(F)(F)C(F)(F)I,2.97
OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,6.47
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C=C,5.22
OC(=O)C(F)(F)C(F)(F)OC(F)(F)F,2.28
[H][N]([H])([H])([H])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.37
FC(F)(F)C(F)(F)C(Cl)Cl,3.14
FC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,2.49
C[N](C)(O)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.72
FC(F)(F)C(F)(F)F,2.15
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,8.18
FC1(F)C2(F)C(F)(C3(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C3(F)F)C(F)(F)C(F)(F)C(F)(F)C2(F)F,6.49
FC(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,5.63
OCCC(F)(F)C(F)(F)F,1.73
COC(=O)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)=O)C(F)(F)F,3.61
OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,1.15
FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.22
FC1(F)COC1(F)F,1.95
OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.09
FC(F)(F)C(F)(C#N)C(F)(F)F,2.2
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.49
COC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)=C(F)F,2.65
OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,3.12
CC(C)(CS(O)(=O)=O)NC(=O)CCSCCC(F)(F)C(F)(F)F,0.39
Cc1cc(ccc1NC(=O)c1cccc(I)c1C(O)=NC(C)(C)CS(C)(=O)=O)C(F)(C(F)(F)F)C(F)(F)F,5.58
COC(=O)CC(C)(C)C(Cl)CC(Cl)(Cl)C(F)(F)F,5.4
[H][N]([H])([H])([H])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2.04
FC(F)(F)C(F)(F)CCS,3.14
FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C#N,3.47
FC(F)=C(F)OC(F)(F)C(F)(F)C(F)(F)OC(F)=C(F)F,3.28
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.16
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,5.02
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC(F)(F)C(F)(F)C(F)(F)CCS,7.57
FC(F)(F)C(F)(F)C(F)(F)CCI,4.62
FC(=O)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,4.68
Oc1cc(ccc1NC(=O)C(F)(F)C(F)(F)C(F)(F)F)N(=O)=O,4.42
FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,12.26
OP(O)(=O)OCC(COP(O)(O)=O)(CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,9.85
OP(O)(=O)OCC(COP(O)(O)=O)(CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7.17
FC(F)(F)C(F)(Br)C(F)(F)Br,3.93
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS,4.48
C[N](C)(CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CCC(O)=O,0.55
FC(F)(F)C(F)(F)C(=O)C(F)(C(F)(F)F)C(F)(F)F,2.79
CCCC(F)(F)C(F)(F)C(F)(F)CCCOC(CCl)COC(=O)c1cc(C(O)=O)c(cc1C(=O)OCC(O)CCl)C(=O)OCC(O)CCl,6.29
CN(C)CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.62
FC(F)C(F)(F)C(F)(F)C(F)(F)F,2.89
FC1CC(F)(F)C(F)(F)C1(F)F,3.45
FC(F)(F)C1(F)C(F)(F)C(F)(F)C1(F)C(F)(F)F,4.62
FC(F)(F)C(F)(F)C(F)(F)F,2.82
FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)F)C(F)(F)OC(F)(C(F)(F)F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F,12.26
CC(CCN(CCO)CCO)(SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)SCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,11.61
