Study,PFAS,SMILES,half_life,half_life_sd,Individual_data,N_individuals,half_life_type,Occupational_exposure,SE,CI_l,CI_u,Comments,log_half_life,LogKa,N_excluded
Li et al. 2018,PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,5.3,3.677010765,False,106,apparent,False,,4.6,6.0,ME/2 != Ci - y,0.724275869600789,5.732048511505127,
Li et al. 2018,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,3.4,1.575861756,False,106,apparent,False,,3.1,3.7,ME/2 != Ci - y,0.5314789170422551,5.895376205444336,
Li et al. 2018,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,2.7,1.050574504,False,106,apparent,False,,2.5,2.9,ME/2 != Ci - y,0.43136376415898736,5.382719993591309,
Li et al. 2022,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,2.47,1.171210114,False,114,intrinsic,False,,2.27,2.7,,0.39269695325966575,5.382719993591309,
Li et al. 2022,PFPeS,C(C(C(F)(F)F)(F)F)(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F,0.94,0.435799112,False,114,intrinsic,False,,0.86,1.02,,-0.026872146400301365,4.869239330291748,
Li et al. 2022,PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,4.52,2.315182784,False,114,intrinsic,False,,4.14,4.99,,0.6551384348113821,5.732048511505127,
Li et al. 2022,PFHpS,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,4.55,2.505844896,False,114,intrinsic,False,,4.14,5.06,,0.6580113966571124,5.7382307052612305,
Li et al. 2022,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,2.73,1.007785447,False,114,intrinsic,False,,2.55,2.92,,0.436162647040756,5.895376205444336,
Li et al. 2022,1mPFOS,C(C(C(C(C(F)(F)F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,5.01,2.696507008,False,114,intrinsic,False,,4.56,5.55,,0.6998377258672457,5.8139753341674805,
Li et al. 2022,3mPFOS,C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)F,3.43,1.416347115,False,114,intrinsic,False,,3.19,3.71,,0.5352941200427705,5.8139753341674805,
Li et al. 2022,4mPFOS,C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(F)(F)F)F,3.43,1.416347115,False,114,intrinsic,False,,3.19,3.71,,0.5352941200427705,5.8139753341674805,
