,Type,Compounds,SMILES,Exposure_time,pH,ATSC6pe,AATS2dv,PFAS_concentration (μg/kg),OC_content (%),Cultivate_mode,Protein_content (%),logRCF,References,Prediction
67,8,PFDoA,C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.181265374,29.64285714,1000,2.38,1,4,-1.59,[8],-1.566370968
68,8,PFDoA,C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.181265374,29.64285714,500,2.38,1,4,-1.55,[8],-1.543092953
69,8,PFDoA,C(=O)(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.181265374,29.64285714,200,2.38,1,4,-1.54,[8],-1.532130028
322,17,PFUnA,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.186962286,29.65625,1000,2.38,1,4,-1.38,[8],-1.369843543
323,17,PFUnA,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.186962286,29.65625,500,2.38,1,4,-1.36,[8],-1.349213354
328,17,PFUnA,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.186962286,29.65625,500,2.38,1,4,-1.356547324,[8],-1.349213354
0,1,6:2Cl-PFESA,C(C(C(C(F)(F)Cl)(F)F)(F)F)(C(C(OC(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(F)F,70,7.66,1.549072425,27.67857143,4.16,1.1,1,4,-1.34,[1],-0.997258065
57,7,PFDA,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.191709375,29.67241379,1000,2.38,1,4,-1.34,[8],-1.322927637
58,7,PFDA,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.191709375,29.67241379,500,2.38,1,4,-1.3,[8],-1.291666912
177,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.1936,29.7173913,1000,2.38,1,4,-1.28,[8],-1.250282258
324,17,PFUnA,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.186962286,29.65625,200,2.38,1,4,-1.26,[8],-1.265979927
329,17,PFUnA,C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.186962286,29.65625,200,2.38,1,4,-1.259637311,[8],-1.265979927
178,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.1936,29.7173913,500,2.38,1,4,-1.24,[8],-1.219179626
146,12,PFNA,C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.194520809,29.69230769,500,2.38,1,4,-1.24,[8],-1.244734861
80,9,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.185548582,29.75,500,2.38,1,4,-1.19,[8],-1.158441349
59,7,PFDA,C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.191709375,29.67241379,200,2.38,1,4,-1.19,[8],-1.194315004
267,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,30,7.67,0.194258667,28.61818182,1000,2.38,1,4,-1.12,[8],-1.105443548
268,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,30,7.67,0.194258667,28.61818182,500,2.38,1,4,-1.09,[8],-1.066769553
129,11,PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,30,7.67,0.1879375,28.37209302,1000,2.38,1,4,-1.06,[8],-1.057189898
179,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.1936,29.7173913,200,2.38,1,4,-1.04,[8],-1.100881734
81,9,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.185548582,29.75,200,2.38,1,4,-0.98,[8],-1.041868823
130,11,PFHxS,C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,30,7.67,0.1879375,28.37209302,500,2.38,1,4,-0.95,[8],-1.006323117
105,10,PFHxA,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.163592,29.79411765,1000,2.38,1,4,-0.93,[8],-0.898629032
203,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,80,5.67,0.1936,29.7173913,10,0.93,1,5.32,-0.920818754,[15],-0.689584156
96,9,PFHpA,C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,80,5.67,0.185548582,29.75,10,0.93,1,5.32,-0.886056648,[15],-0.499803833
106,10,PFHxA,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.163592,29.79411765,500,2.38,1,4,-0.83,[8],-0.84858871
47,6,PFBS,C(C(C(F)(F)S(=O)(=O)O)(F)F)(C(F)(F)F)(F)F,70,7.66,-0.152785185,27.93548387,0.34,1.1,1,4,-0.83,[1],-0.446623659
107,10,PFHxA,C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O,30,7.67,0.163592,29.79411765,200,2.38,1,4,-0.7,[8],-0.771693548
